ArticleID,StatName,StatValue
34,flesch_score,34.00500559284117
34,fleschkincaid_score,14.68560402684564
34,gunningfog_score,19.866219239373603
34,smog_score,17.315433740611066
34,dalechall_score,11.756488366890379
35,char_count,525.0
35,word_count,97.0
35,sent_count,5.0
35,sybl_count,170.0
35,notdalechall_count,46.0
35,polysyblword_count,21.0
35,flesch_score,38.875958762886626
35,fleschkincaid_score,12.65641237113402
35,gunningfog_score,16.41979381443299
35,smog_score,14.836745963215662
35,dalechall_score,12.086781237113401
36,char_count,1136.0
36,word_count,212.0
36,sent_count,12.0
36,sybl_count,342.0
36,notdalechall_count,78.0
36,polysyblword_count,37.0
36,flesch_score,52.42597484276732
36,fleschkincaid_score,10.335849056603774
36,gunningfog_score,14.047798742138367
36,smog_score,13.160352788161607
36,dalechall_score,10.322294968553457
37,char_count,491.0
37,word_count,109.0
37,sent_count,6.0
37,sybl_count,154.0
37,notdalechall_count,40.0
37,polysyblword_count,7.0
37,flesch_score,68.8692278287462
37,fleschkincaid_score,8.166559633027525
37,gunningfog_score,9.83547400611621
37,smog_score,9.2995712137729
37,dalechall_score,10.332062079510704
38,char_count,775.0
38,word_count,147.0
38,sent_count,6.0
38,sybl_count,242.0
38,notdalechall_count,55.0
38,polysyblword_count,34.0
38,flesch_score,42.694030612244916
38,fleschkincaid_score,13.390850340136055
38,gunningfog_score,19.05170068027211
38,smog_score,16.728156217252725
38,dalechall_score,10.7595231292517
39,char_count,982.0
39,word_count,167.0
39,sent_count,7.0
39,sybl_count,290.0
39,notdalechall_count,69.0
39,polysyblword_count,32.0
39,flesch_score,35.70982035928145
39,fleschkincaid_score,14.205303678357573
39,gunningfog_score,17.20752780153978
39,smog_score,15.343465313023842
39,dalechall_score,11.343826261762189
40,char_count,725.0
40,word_count,127.0
40,sent_count,6.0
40,sybl_count,228.0
40,notdalechall_count,54.0
40,polysyblword_count,33.0
40,flesch_score,33.47051837270345
40,fleschkincaid_score,13.849251968503937
40,gunningfog_score,18.86036745406824
40,smog_score,16.52667757954773
40,dalechall_score,11.400224934383202
41,char_count,2201.0
