InstID,ArticleID,AuthorID
178,2961,3475
617,2961,3475
514,2962,2045
255,2962,2045
504,2962,2045
504,2962,2077
257,2962,2077
504,2962,5789
338,2962,5789
494,2962,5789
617,2963,1816
617,2963,5913
101,2963,5913
457,2964,3115
38,2964,6102
1,2965,24
283,2965,1324
16,2965,1324
38,2965,1359
8,2965,3146
128,2966,60
29,2966,2871
78,2967,2950
26,2967,2950
8,2968,2849
8,2968,4224
8,2968,4549
494,2968,4549
504,2969,1976
252,2969,1976
509,2969,1976
249,2969,1976
55,2970,4543
230,2971,1020
16,2971,5485
44,2972,3919
44,2972,5419
3,2973,1434
494,2973,1434
3,2973,4684
494,2973,4684
2,2974,3515
494,2974,3515
2,2974,5502
494,2974,5502
6,2975,5437
207,2976,946
202,2976,4056
40,2977,657
5,2978,2949
494,2978,5538
1,2978,5538
3,2979,2457
542,2979,2457
9,2979,5456
494,2980,1767
504,2980,1767
2,2980,1767
24,2980,5934
494,2981,2605
10,2981,2605
44,2981,5419
17,2982,2361
504,2982,2391
325,2982,2391
269,2982,2391
213,2983,2111
3,2984,7032
24,2985,5672
494,2985,5672
338,2986,4474
217,2987,429
32,2988,1998
15,2988,3474
617,2989,452
159,2989,2029
3,2990,2457
542,2990,2457
504,2991,1968
186,2991,1968
512,2991,3132
192,2991,3132
14,2992,3038
3,2992,5747
494,2992,5747
42,2993,3225
14,2994,3855
494,2994,3855
494,2994,5839
20,2994,5839
617,2995,1742
21,2995,1742
617,2995,4414
617,2995,4534
87,2996,4962
9,2997,616
9,2997,3360
581,2997,5393
475,2998,133
475,2998,1472
6,2998,1472
494,2998,1472
475,2998,5063
494,2999,3727
3,2999,3727
173,3000,3239
8,3000,4718
222,3000,5304
49,3000,5304
1,3001,1133
1,3001,3037
578,3002,1000
13,3002,3805
617,3002,3805
494,3002,3805
494,3002,5239
13,3002,5239
34,3003,5741
486,3003,5797
16,3004,1324
17,3004,4693
494,3005,1412
1,3005,1412
2,3006,2373
542,3006,5471
3,3006,5471
504,3007,3801
617,3007,3801
16,3007,3801
16,3007,8395
718,3008,570
228,3008,570
562,3008,570
718,3008,2071
228,3008,2071
562,3008,2071
3,3008,4322
19,3009,83
19,3009,1403
14,3009,4556
16,3010,120
494,3010,2260
12,3010,2260
494,3011,271
10,3011,271
617,3011,271
477,3011,1736
3,3011,1736
494,3011,1736
494,3011,4390
101,3011,4390
617,3011,4390
494,3012,3786
52,3012,3786
11,3012,4816
494,3012,4816
67,3013,1229
18,3013,2761
8,3014,1727
30,3014,3319
212,3015,1147
273,3016,3550
504,3016,3550
496,3016,3550
524,3016,4306
494,3016,4306
170,3016,4306
504,3016,5804
284,3016,5804
1,3017,24
3,3017,3595
11,3017,4422
362,3018,5327
504,3018,5327
504,3018,5999
494,3018,5999
44,3018,5999
54,3019,1423
504,3020,3304
172,3020,3304
504,3020,3332
389,3020,3332
9,3020,5534
13,3021,1072
57,3022,1161
49,3022,3747
10,3023,1060
494,3023,1060
316,3023,3703
38,3023,3703
16,3024,2694
8,3024,3810
504,3024,5402
114,3024,5402
3,3025,462
494,3025,462
542,3025,462
494,3025,2645
29,3025,2645
10,3026,583
494,3026,3755
10,3026,3755
10,3026,6703
88,3027,4868
155,3027,4883
162,3027,8129
81,3027,8129
504,3028,566
136,3028,566
389,3028,834
412,3028,4317
504,3028,4317
213,3029,179
213,3029,4013
504,3030,1976
249,3030,1976
617,3031,3096
101,3031,3096
524,3032,2425
170,3032,2425
494,3032,4306
524,3032,4306
170,3032,4306
524,3032,5175
390,3033,4114
717,3033,4114
3,3033,5560
24,3034,178
8,3034,900
494,3034,1917
3,3034,1917
74,3035,2033
26,3035,4900
494,3036,961
2,3036,961
2,3036,3422
494,3036,3422
3,3037,201
504,3038,449
514,3038,449
19,3038,449
412,3038,449
494,3038,449
412,3038,1504
514,3038,1504
581,3038,4592
5,3039,5506
3,3040,353
494,3040,353
504,3040,353
4,3041,2211
4,3041,4386
1,3042,1996
494,3042,1996
1,3043,1996
494,3043,1996
20,3044,2438
36,3044,6148
13,3045,3298
3,3046,712
494,3046,712
713,3047,2547
713,3047,5776
581,3048,4762
1,3049,3473
449,3049,6055
501,3050,677
501,3050,1778
504,3050,1778
509,3050,1778
542,3051,3966
3,3051,3966
494,3051,3966
411,3052,5862
504,3053,94
252,3053,94
29,3053,3093
15,3053,5131
5,3053,5673
16,3053,5673
14,3054,1373
152,3055,3865
4,3056,1534
494,3056,4552
12,3056,4552
17,3057,4632
40,3058,2486
19,3058,3167
494,3059,3108
2,3059,3108
617,3060,3213
215,3061,5336
283,3062,371
252,3062,376
23,3062,3874
8,3063,589
3,3063,5732
10,3064,199
10,3064,722
494,3064,722
494,3065,4319
3,3065,4319
494,3065,4805
3,3065,4805
6,3066,1910
18,3066,2359
44,3067,4490
5,3068,1103
494,3068,1103
